jerk_time_s,jerk_value,gps_time_s,latitude,longitude
56.897476447500296,2.686446628402302,56.90898640000002,40.747146,-111.9216395
135.32768309499977,3.904168505406899,135.3083712,40.7453057,-111.9205552
202.3840796624998,4.431518365445865,202.4110272,40.7441027,-111.9193334
204.65802803750103,5.325978633075339,204.6139424,40.7440596,-111.9193103
304.1217879574964,2.7585886049379367,304.1106624000001,40.7416816,-111.9195525
466.7901485251267,4.779864858146013,466.8147296,40.7401562,-111.9231664
475.58564026500005,5.466275826323107,475.61516159999996,40.740064,-111.9229592
488.6636878874999,3.568993453889925,488.6144352,40.7397187,-111.922483
510.32197778000375,7.3069078251987705,510.3170624000001,40.7390411,-111.9220324
519.0875276557811,3.503760056452512,519.1155712000001,40.7386414,-111.9220095
527.0566512474986,5.4432448022706525,527.0187040000002,40.7383086,-111.9221832
532.4762335200942,3.0546718067542935,532.516256,40.7380832,-111.9223442
542.1884683324973,3.7552804106310167,542.2172159999999,40.7376849,-111.9225982
549.2259763875068,3.819053678605641,549.2203519999997,40.7374018,-111.92274
564.8687076525011,4.997133292713541,564.82112,40.7367927,-111.923034
569.7874600749992,4.601497716895229,569.8236031999999,40.7365918,-111.9229615
585.9912299450014,7.116068378916135,586.0222592000001,40.7360085,-111.9226121
599.9259961750032,3.065517257097483,599.9186048000001,40.7353958,-111.9226257
656.7268224274999,7.6434083327374,656.7169279999999,40.7336703,-111.9229292
663.5990541674985,2.6753134255947684,663.6175487999996,40.7334614,-111.9229156
717.1794815974981,2.698789969279022,717.2235840000001,40.7314034,-111.924007
719.0929276750019,5.62423350257138,719.1221759999999,40.7313384,-111.9240125
785.9969877050019,5.570078722809224,786.0263936000001,40.7285833,-111.9248299
793.3049836325016,3.2636371581518806,793.3256640000001,40.7282692,-111.9249464
808.8025395929691,5.1170278787600045,808.8231679999999,40.7278431,-111.9256185
846.594765366837,2.6751594854604677,846.6239039999997,40.727303,-111.9269303
856.0615501550004,3.1236865724917484,856.0249024,40.7275208,-111.9272647
863.0940156925001,2.5389631259605894,863.1262336000001,40.7273739,-111.9275532
884.8425085625106,6.19513516784341,884.8280767999996,40.7266679,-111.9272268
888.3987991275029,2.7471649409793857,888.4279040000002,40.7265499,-111.9271085
925.0086459775,4.6362617128577135,925.0234368,40.725345,-111.9258513
938.9383961375027,9.044917188908205,938.9248639999996,40.7249013,-111.9253679
980.0817869374996,5.3554843683551185,980.128096,40.7235442,-111.9238111
1011.427996712501,2.850712196102707,1011.4269952,40.7226482,-111.9228366
1028.503662499999,2.81408167401625,1028.5272,40.7220792,-111.92211
1032.8064024999944,5.215291464484995,1032.8271487999996,40.7219131,-111.9219137
1037.8554792775,3.3490253739154388,1037.8296447999996,40.721726,-111.9216908
1040.6004155450041,3.352648727610961,1040.6281856,40.7216216,-111.9215481
1055.2067089500001,3.271206056062339,1055.2255616,40.7210733,-111.9208586
1067.423739722507,5.519525106619542,1067.4310336,40.7205055,-111.9205543
1070.10858652,4.362411482761948,1070.129344,40.7203715,-111.9205969
1072.908642272505,2.6682062275118117,1072.9274496000007,40.7202453,-111.9206706
1106.238834150754,2.5482894530716695,1106.224192,40.7188026,-111.9213742
1193.8654761999937,6.372444626724532,1193.8305535999998,40.7158079,-111.9238643
1203.0317032150174,3.71235366293349,1203.030784000001,40.7154563,-111.9242037
1223.808389314995,3.587527111160135,1223.8273535999995,40.7145118,-111.9245138
1247.6403502487492,2.9484275938688396,1247.6307839999997,40.7134675,-111.9246464
1299.1861078025145,3.71125428173575,1299.2273023999996,40.7118807,-111.9256888
1314.483091549997,4.879682934464871,1314.5281024,40.7113501,-111.9251056
1344.0451894250061,3.380033173532796,1344.0285695999999,40.7100537,-111.9249801
1359.6526873675,3.9736708927858952,1359.6300800000001,40.7095064,-111.9246763
1362.1370781875025,3.0097344653318228,1362.1292287999997,40.709419,-111.924572
1365.2275446599979,2.5477093504274957,1365.2269568000008,40.7093032,-111.9245302
1373.141476549984,3.722181323424246,1373.1310079999994,40.7089455,-111.9243008
1378.8114911808973,2.585291079004297,1378.8292352,40.7086635,-111.9242058
1384.4013428499784,2.7681567279369026,1384.430848,40.708369,-111.9242309
1392.7460468499944,8.061275050083834,1392.7324672,40.7079134,-111.9240648
1417.7701849698435,3.779405956570286,1417.7320192000002,40.706851,-111.9229981
1420.9658023925022,3.012274157699885,1420.9321600000003,40.7066666,-111.9229856
1422.9593096499889,2.7294067545567557,1422.9324800000004,40.7065656,-111.9230433
1429.6060364374994,5.04306294481792,1429.6327424,40.7062834,-111.9230169
1431.6346209325006,5.283533255782396,1431.6338432,40.7062443,-111.922919
1435.1808556975152,2.5154564554150745,1435.2303616,40.7061639,-111.9227666
1441.9928604625072,8.815504668811835,1442.0285440000002,40.7060316,-111.9225235
1455.9474319025048,4.7059205469194145,1455.9307263999997,40.7056449,-111.9227168
1464.0767546633058,3.1292668992268107,1464.028928,40.7053864,-111.9229495
1491.8907069999964,3.892818042351011,1491.9291647999999,40.7051923,-111.9245691
1512.366653537513,4.3705303862083245,1512.3301887999994,40.7054488,-111.9256998
1527.6484266124985,2.566536470631804,1527.6306176,40.7053356,-111.9265268
1602.6843008424999,5.432941254205682,1602.6344960000001,40.702538,-111.9278991
1631.9701498374957,2.926997615089038,1631.9305344000002,40.7022535,-111.9263261
1637.1440904375017,3.0513370633304144,1637.1309511111108,40.702151,-111.926075
1646.1296608599973,3.653635247114342,1646.1327872,40.7018777,-111.9256018
1663.204125832509,2.8347101910230004,1663.2322560000002,40.7013397,-111.9247244
1691.9236368750016,2.5213284166980046,1691.9319552000002,40.7002835,-111.924217
1700.0877049396922,5.383858829396449,1700.1287168000001,40.7000507,-111.9242724
2069.065853622521,3.2987185464375566,2069.0354432000004,40.6867964,-111.9205346
